patient_id,genes,similarities
Group_2,ENSG00000158201,0.2662506401538849
Group_2,ENSG00000133138,0.3832545876502991
Group_2,ENSG00000150361,0.4089934229850769
Group_2,ENSG00000171612,0.0865345224738121
Group_2,ENSG00000158161,0.3997022807598114
Group_2,ENSG00000102383,0.46389040350914
Group_2,ENSG00000150893,0.559516429901123
Group_2,ENSG00000187546,0.38225555419921875
Group_2,ENSG00000165669,0.36092057824134827
Group_2,ENSG00000105705,0.4570147395133972
Group_2,ENSG00000157259,0.5833978652954102
Group_2,ENSG00000136319,0.43991613388061523
Group_2,ENSG00000158435,0.40077638626098633
Group_2,ENSG00000150636,0.489851713180542
Group_2,ENSG00000135972,0.45630794763565063
Group_2,ENSG00000184156,0.44442689418792725
Group_2,ENSG00000152484,0.37792178988456726
Group_2,ENSG00000164219,0.3020888566970825
Group_2,ENSG00000143995,0.4606402516365051
Group_2,ENSG00000155329,0.45618772506713867
Group_2,ENSG00000137642,0.4793572425842285
Group_2,ENSG00000047634,0.3614245057106018
Group_2,ENSG00000171094,0.599873423576355
Group_2,ENSG00000163235,0.5875802636146545
Group_2,ENSG00000205269,0.3325082063674927
Group_2,ENSG00000183778,0.24088624119758606
Group_2,ENSG00000160294,0.5556655526161194
Group_2,ENSG00000082397,0.49725914001464844
Group_2,ENSG00000145990,0.31316763162612915
Group_2,ENSG00000104324,0.2996850907802582
Group_2,ENSG00000234545,0.2050095796585083
Group_2,ENSG00000070669,0.5818654894828796
Group_2,ENSG00000134146,0.26745325326919556
Group_2,ENSG00000183098,0.45795661211013794
Group_2,ENSG00000205356,0.3142865002155304
Group_2,ENSG00000165714,0.30251920223236084
Group_2,ENSG00000071051,0.5705528259277344
Group_2,ENSG00000155846,0.48978543281555176
Group_2,ENSG00000171311,0.36778324842453003
Group_2,ENSG00000185634,0.427009642124176
Group_2,ENSG00000168813,0.32690179347991943
Group_2,ENSG00000124574,0.3006040155887604
Group_2,ENSG00000172159,0.3131468892097473
Group_2,ENSG00000093217,0.23559412360191345
Group_2,ENSG00000165194,0.4300042986869812
Group_2,ENSG00000105220,0.4378011226654053
Group_2,ENSG00000183775,0.3844817280769348
Group_2,ENSG00000134115,0.324606329202652
Group_2,ENSG00000167193,0.5633202195167542
Group_2,ENSG00000203965,0.3186018168926239
Group_2,ENSG00000112130,0.5083833336830139
Group_2,ENSG00000139173,0.36108821630477905
Group_2,ENSG00000171606,0.37951987981796265
Group_2,ENSG00000101605,0.5059401988983154
Group_2,ENSG00000144455,0.4585384428501129
Group_2,ENSG00000151025,0.39312365651130676
Group_2,ENSG00000107554,0.4115128517150879
Group_2,ENSG00000151466,0.5005947351455688
Group_2,ENSG00000136143,0.504507303237915
Group_2,ENSG00000138640,0.40051931142807007
Group_2,ENSG00000139826,0.1506422907114029
Group_2,ENSG00000182263,0.3277776539325714
Group_2,ENSG00000048471,0.26095524430274963
Group_2,ENSG00000140090,0.32463812828063965
Group_2,ENSG00000091542,0.1697099208831787
Group_2,ENSG00000127863,0.48973754048347473
Group_2,ENSG00000108578,0.4535456895828247
Group_2,ENSG00000183166,0.32715922594070435
Group_2,ENSG00000164904,0.47505518794059753
Group_2,ENSG00000080845,0.48801177740097046
Group_2,ENSG00000127955,0.4963984489440918
Group_2,ENSG00000141314,0.3835717439651489
Group_2,ENSG00000154447,0.5132964849472046
Group_2,ENSG00000108231,0.4317248463630676
Group_2,ENSG00000102524,0.446553111076355
Group_2,ENSG00000134215,0.49808263778686523
Group_2,ENSG00000173145,0.4057239890098572
Group_2,ENSG00000108239,0.16254645586013794
Group_2,ENSG00000141076,0.5140847563743591
Group_2,ENSG00000066651,0.4235503673553467
Group_2,ENSG00000100034,0.4956287145614624
Group_2,ENSG00000156958,0.2753210663795471
Group_2,ENSG00000174473,0.27550745010375977
Group_2,ENSG00000149403,0.351155549287796
Group_2,ENSG00000025039,0.29089343547821045
Group_2,ENSG00000196814,0.3459549844264984
Group_2,ENSG00000167094,0.2431873381137848
Group_2,ENSG00000113845,0.5073570609092712
Group_2,ENSG00000151773,0.214540034532547
Group_2,ENSG00000232119,0.38227659463882446
Group_2,ENSG00000144290,0.4544701874256134
